date,year,equity_return,bond_return,roro,roro_ma,composite_signal,equity_position,portfolio_return,nav,benchmark_return,benchmark_nav
2014-02-07,2014,0.01363742162779253,0.001687950159955376,0.2714571542534271,0.2714571542534271,0,0.5,0.007662685893873953,1.007662685893874,0.007662685893873953,1.007662685893874
2014-03-03,2014,-0.0002638429905362782,0.001255288922570874,0.2714571542534271,0.2714571542534271,0,0.5,0.0004957229660172979,1.0081622074292702,0.0004957229660172979,1.0081622074292702
2014-04-01,2014,0.01267113803590885,-0.0008334379363363342,0.2714571542534271,0.2714571542534271,0,0.5,0.005918850049786258,1.0141293683609056,0.005918850049786258,1.0141293683609056
2014-05-05,2014,0.0008922396027897684,7.399873123947742e-05,0.2816516241116922,0.2770337285857739,2,1.0,0.0004831191670146229,1.0146193136965933,0.0004831191670146229,1.0146193136965933
2014-06-03,2014,0.0006327211442014313,9.042469690573318e-05,0.2697896133653013,0.2798133606537597,-2,0.3,0.0006327211442014313,1.0152612847896842,0.00036157292055358226,1.0149861725650966
2014-07-01,2014,0.006121874916480752,-0.001090638082116124,0.2713260068249654,0.2711319332017924,2,1.0,0.0010731158174629386,1.0163507777332497,0.0025156184171823137,1.0175394904739867
2014-08-01,2014,-0.007145866045378702,0.0020931181645375,0.234741611472708,0.2611989942854681,-2,0.3,-0.007145866045378702,1.0090880712204513,-0.002526373940420601,1.0149688052219044
2014-09-01,2014,0.00880303798312528,0.0003915150178690485,0.262389524381504,0.2494308278881642,2,1.0,0.002914971907445918,1.0120295346001977,0.0045972765004971645,1.0196348974588887
2014-10-08,2014,0.01140525286297338,0.001779338182654522,0.260534137977349,0.2573428223224469,0,0.5,0.01140525286297338,1.0235719873471103,0.006592295522813951,1.0263566320283117
2014-11-03,2014,0.002331860018133192,0.0001317146895633559,0.2738927140047979,0.2533015452943804,0,0.5,0.0012317873538482738,1.0248328103768778,0.0012317873538482738,1.0276208851481825
2014-12-01,2014,-0.0107009972542643,-0.001026857395909853,0.2480318652898964,0.2548120016351119,-2,0.3,-0.005863927325087076,1.018823265256463,-0.005863927325087076,1.0215949909599318
2015-01-05,2015,-8.880634691830203e-05,0.001284896247372047,0.2526147350021479,0.2497137165092157,0,0.5,0.0008727854690849424,1.0197124793979444,0.0005980449502268725,1.0222059506854526
2015-02-02,2015,-0.0006639489892148242,0.0003702085509028619,0.2669234618479034,0.2834673247942173,0,0.5,-0.00014687021915598116,1.019562714002619,-0.00014687021915598116,1.022055819073453
2015-03-02,2015,0.0101643179010114,-0.002742116944698503,0.2753554537290427,0.2752348155664994,2,1.0,0.0037111004781564486,1.0233464136780648,0.0037111004781564486,1.0258487709123192
2015-04-01,2015,0.008401980523609099,0.002408036808056235,0.2649028798380678,0.2633149774034451,2,1.0,0.008401980523609099,1.0319445503146931,0.005405008665832667,1.031393492408934
2015-05-04,2015,0.004036345626239934,-0.000705770220696289,0.2532739156362333,0.2641888449005513,0,0.5,0.004036345626239934,1.036109835186878,0.0016652877027718226,1.0331110593085615
2015-06-01,2015,0.02219365589527982,-0.001696504888130002,0.2650801008457644,0.272212203508087,0,0.5,0.010248575503574909,1.0467284850627872,0.010248575503574909,1.0436989760034634
2015-07-01,2015,-0.02293626333990867,-0.001269961695403055,0.2745110814641015,0.2454496884100681,0,0.5,-0.012103112517655862,1.0340598124326368,-0.012103112517655862,1.0310669698623314
2015-08-03,2015,-0.01293082071934895,0.0006130972017657221,0.3543861746964247,0.328256749450808,0,0.5,-0.006158861758791614,1.0276911809975422,-0.006158861758791614,1.024716770930893
2015-09-01,2015,-0.02963839956315462,0.001735113235083241,0.3983072361728825,0.3840003609307771,0,0.5,-0.01395164316403569,1.013353200357438,-0.01395164316403569,1.0104202881986624
2015-10-08,2015,0.01545479561857415,-0.0002114570877421174,0.3932409903235707,0.4033937998721672,0,0.5,0.007621669265416017,1.0210766432996132,0.007621669265416017,1.018121377454379
2015-11-02,2015,-0.006231288818262603,-0.0008187476239377434,0.3675222884626684,0.3792536703576651,-2,0.3,-0.0035250182211001733,1.0174773295268422,-0.0035250182211001733,1.0145324810475607
2015-12-01,2015,0.00834898832573161,0.001883736039097417,0.3043502425117849,0.3481960754868856,0,0.5,0.003823311725087675,1.021367462530833,0.005116362182414513,1.0197231966664235
2016-01-04,2016,-0.0439423945992365,-0.0006776504738206235,0.2728715788742962,0.2663639177446984,0,0.5,-0.022310022536528563,0.9985807314236932,-0.022310022536528563,0.9969731491677747
